avg_ai_score,avg_programming_score,avg_math_score,avg_datascience_score,avg_webdev_score,interest_ai,interest_data,interest_web,interest_research,skill_python,skill_web_tech,skill_ml,semester,career
73.13872235788389,96.52320058119538,74.27140862271871,72.87525312132242,55.4988857413178,1,1,1,0,1,1,1,7,AI Engineer
77.08862375594103,100.0,96.41378401516401,71.74812329954989,62.67315329440312,0,1,0,0,1,0,1,2,Machine Learning Engineer
37.333333333333336,39.666666666666664,42.0,39.666666666666664,35.0,0,0,1,0,0,1,0,6,DevOps Engineer
42.66666666666667,45.333333333333336,48.0,45.333333333333336,40.0,0,1,1,0,0,1,0,4,DevOps Engineer
72.54035602515924,68.54990509170119,100.0,71.85344246813816,41.93082972140121,1,0,0,1,1,0,1,2,AI Engineer
48.0,51.0,54.0,51.0,45.0,0,1,1,0,0,1,0,4,Full Stack Developer
57.33333333333334,50.166666666666664,64.5,60.91666666666667,53.75,0,1,0,0,0,0,0,1,Full Stack Developer
71.77296114839457,71.87965998059818,69.02349410307497,79.68399228496813,56.91448665107787,0,0,1,0,0,1,0,4,Business Intelligence Analyst
5.333333333333334,5.666666666666667,6.666666666666667,5.666666666666667,5.0,0,1,1,0,0,1,0,3,Full Stack Developer
63.20752267989865,84.8375858670745,91.63507474638105,83.75615267092107,75.09891400766834,0,1,0,0,0,1,0,2,Software Engineer
41.86960969803576,69.50981391876358,86.45150874000285,63.55114754612451,62.947695964245604,1,1,0,0,0,0,0,6,Data Analyst
72.66572801449779,69.83027493515206,68.26906779068501,66.26157974988134,44.50233359885833,1,1,0,0,1,1,1,3,Data Analyst
44.00000000000001,46.75000000000001,55.00000000000001,46.75000000000001,41.25000000000001,0,1,1,0,0,1,0,2,DevOps Engineer
73.11765385271805,54.685440450854294,86.09993614659744,100.0,60.21131369395407,1,1,0,0,0,0,0,2,Data Analyst
69.1534137898106,67.27878915876374,65.54502982008457,74.22732443410379,44.13221124462993,0,1,0,1,0,0,0,4,Software Engineer
71.30221220020252,100.0,89.74114901506417,69.60734179587044,52.001587636034145,0,0,0,0,1,0,0,3,DevOps Engineer
72.5805440480608,60.10692817876168,55.956763971269595,68.44424046199165,62.30085095206954,1,0,0,1,0,0,0,2,Business Intelligence Analyst
55.905833430621016,74.16029744232317,58.66068307688873,42.09490401781902,40.0,1,1,0,0,0,1,1,2,Data Analyst
44.00000000000001,46.75000000000001,49.50000000000001,46.75000000000001,41.25000000000001,1,1,1,1,0,1,0,6,Full Stack Developer
36.0,31.499999999999996,40.5,38.25,33.75,0,0,0,0,0,0,0,8,Business Intelligence Analyst
40.0,73.03973892519413,53.63060197158785,40.0,56.366618883618976,1,0,0,0,1,1,0,7,DevOps Engineer
100.0,74.07767904231392,82.7368305002923,97.3329715478582,59.62295014729103,1,0,0,1,1,0,1,3,Research Scientist
52.0,55.25,58.5,55.25,48.75,0,1,1,0,0,1,0,4,Data Analyst
54.666666666666664,47.83333333333333,61.5,58.08333333333333,51.25,0,1,0,0,0,0,0,4,Data Analyst
53.09756869874781,55.786308074758594,72.79091569363145,58.82881605390408,62.59490552887574,0,0,1,0,1,1,1,1,Software Engineer
54.666666666666664,58.08333333333333,68.33333333333333,58.08333333333333,51.25,0,1,1,0,0,1,0,1,Full Stack Developer
34.666666666666664,30.33333333333333,39.0,36.83333333333333,32.5,1,0,0,0,0,0,0,4,Full Stack Developer
76.41163984017864,78.44440909545725,70.79953120979084,65.4428351698018,59.8629798808532,0,0,0,1,1,1,0,3,Business Intelligence Analyst
76.44030605245919,80.8393624865945,86.27600648136011,78.40982843313402,44.918565006116005,1,1,0,1,1,1,1,1,AI Engineer
70.67969897733,48.69628241434284,75.92013158752448,81.37575351917815,40.0,0,0,0,0,1,0,0,3,Business Intelligence Analyst
50.666666666666664,53.83333333333333,57.0,53.83333333333333,47.5,1,1,1,1,0,1,0,7,DevOps Engineer
100.0,77.74533592169487,73.91726055836138,74.24902129405106,63.55467431102155,1,0,1,0,1,1,1,3,Machine Learning Engineer
34.666666666666664,30.33333333333333,39.0,36.83333333333333,32.5,0,1,0,0,0,0,0,4,Business Intelligence Analyst
41.33333333333334,43.91666666666667,51.66666666666667,43.91666666666667,38.75,1,1,1,1,0,1,0,3,Business Intelligence Analyst
79.12603655037455,66.83732953506669,100.0,87.31098039569443,85.11073232864926,1,1,0,0,1,0,0,3,Data Scientist
90.95375215737131,81.26224368595072,84.0722814077773,87.99753581549392,40.0,0,1,0,0,1,0,1,6,Cybersecurity Analyst
36.0,38.25,45.0,38.25,33.75,0,1,1,0,0,1,0,6,Full Stack Developer
25.333333333333332,26.916666666666664,31.666666666666664,26.916666666666664,23.75,0,1,1,0,0,1,0,7,Full Stack Developer
67.03466754936994,65.75139994823265,84.83181236533999,75.74856966483824,40.0,1,1,0,0,1,1,0,7,Data Scientist
67.45493656610114,69.35386262589836,87.96957595416764,69.9022208633475,66.91985765491566,1,1,1,0,0,0,0,6,Data Analyst
77.91901766066943,86.60279633141427,70.0678182432155,82.36999994106225,56.50974712229818,0,0,1,0,1,0,0,2,Software Engineer
75.59996700363718,92.77560332517072,75.97585796997495,70.12006997618262,99.95554600962781,1,0,0,0,0,1,0,6,Software Engineer
80.96919307003355,72.68067115895732,100.0,96.85867973793754,64.0705616722376,1,0,0,1,1,0,1,6,Research Scientist
46.2695679565452,68.66257096627801,82.36766481824289,61.90960114324323,73.58284681090394,0,0,0,0,0,1,0,4,Business Intelligence Analyst
44.00000000000001,46.75000000000001,55.00000000000001,46.75000000000001,41.25000000000001,0,1,1,0,0,1,0,4,DevOps Engineer
100.0,99.43788572721785,81.8585403480332,100.0,58.209613490421916,1,0,0,0,1,0,1,1,Machine Learning Engineer
