avg_ai_score,avg_programming_score,avg_math_score,avg_datascience_score,avg_webdev_score,interest_ai,interest_data,interest_web,interest_research,skill_python,skill_web_tech,skill_ml,semester,career
83.5981240866884,81.18519686940489,92.84316500246894,93.68450123265755,40.0,1,1,0,1,1,0,1,3,Research Scientist
60.137792295908476,70.95798174658846,76.40483498342925,82.22221826611982,53.58310629594982,1,1,0,0,1,0,0,7,Data Analyst
86.13971681909324,87.7227825261792,91.34339265502544,76.95254451695568,57.12315723304987,1,1,0,0,1,0,1,2,Machine Learning Engineer
90.6915690703881,92.79192634515005,56.786826923801996,84.95342290845555,79.47742697675302,0,0,1,0,1,1,0,3,DevOps Engineer
58.46472835413021,74.46883347992932,77.38534281825817,85.533258228069,59.35571507111362,0,1,0,0,1,0,1,2,Data Scientist
83.01339157924292,81.42638549397894,100.0,82.6348604023021,86.62656674021113,0,1,0,0,1,0,0,8,Business Intelligence Analyst
49.34870114961073,79.86674594602835,69.47755837031802,63.870486346304105,56.24319846496185,0,0,1,0,1,1,0,7,DevOps Engineer
74.04369007862987,88.38128311053154,79.73602063664805,82.94741416342875,63.61683243880694,1,1,1,0,1,0,1,1,AI Engineer
97.69737873706501,89.80196165451669,80.55506827833567,86.3795294322489,40.0,1,1,0,1,1,0,1,7,Research Scientist
96.55584708957544,73.1935937008826,84.20665396863015,81.50489078110594,52.958417475764904,1,1,0,1,1,0,1,1,Research Scientist
94.98164078392414,100.0,99.73752299604824,88.23733076975141,60.2750664216203,1,1,0,1,1,0,1,6,Research Scientist
78.44945575566419,85.9707754934804,83.62373988639467,57.469203591839715,66.06805424082678,0,1,0,0,1,1,0,1,Software Engineer
85.04090765313968,86.12330293299883,65.84629257949585,73.79354677234642,59.85928225209846,1,1,0,0,1,0,1,7,Machine Learning Engineer
52.96584096167572,87.57550390722764,71.106649010806,40.0,69.68183349460939,0,0,0,0,1,1,0,1,Software Engineer
60.79868996971266,67.10343842026946,92.33515487289921,92.65793708549305,40.0,0,1,0,0,1,0,0,6,Data Analyst
96.80328561172163,70.37806587980367,91.84015718932679,91.86246367053826,80.88488630237855,1,1,0,0,1,0,1,3,AI Engineer
73.84509207126008,75.17787355915651,67.0324770142281,75.17698436079728,73.31267421624403,0,1,0,0,1,0,0,4,Data Analyst
92.8438650467814,65.60096049196515,88.06763090276594,88.1351721736967,40.0,1,1,0,1,1,0,1,2,Research Scientist
84.59882794248423,89.38187446132773,65.63049289121918,59.154520642988686,67.82912348425347,1,1,0,0,1,0,1,8,AI Engineer
84.96984673233186,83.51686967958418,70.85648581973632,97.38929413373708,67.10749381367681,1,1,1,0,1,0,1,8,AI Engineer
53.062097096973716,68.87502645670551,78.40675398771732,79.37620754319948,91.34494817564469,0,0,1,0,1,1,0,3,Full Stack Developer
40.0,69.86267863036326,82.13354087623645,80.5910144553265,73.0824278903018,0,1,0,0,1,0,0,5,Data Analyst
